"Llara (Mulgate Creek)" spanning 2021-09-01 00:00:00+10:00 to 2021-10-01 00:00:00+10:00
Generated at 2022-02-11 10:59:06.600204+11:00

Time, Temperature (C), Dew Point (C), Wind (km/h), Gust (km/h), Wind Dir, Rain Since 9am (mm), MSLP (hPa), Rel Humidity (%), Delta-T (C), Int Temp (C), Solar Rad (kWh/m^2), UV, ETo (mm)
2021-09-01 00:00:00, 9.8, 6.5, 0.5, 3.0, 69, 0.0, ?, 80, 1.8, ?, 3.81, ?, 2.91
2021-09-01 00:15:00, 9.6, 6.3, 1.3, 5.0, 69, 0.0, ?, 80, 1.8, ?, 0.00, ?, 0.00
2021-09-01 00:30:00, 9.4, 6.3, 2.2, 8.0, 119, 0.0, ?, 81, 1.6, ?, 0.00, ?, 0.00
2021-09-01 00:45:00, 9.4, 6.7, 7.1, 18.0, 56, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.01
2021-09-01 01:00:00, 9.8, 6.3, 2.3, 6.0, 137, 0.0, ?, 79, 1.9, ?, 0.00, ?, 0.00
2021-09-01 01:15:00, 10.9, 6.2, 6.4, 10.0, 148, 0.0, ?, 73, 2.5, ?, 0.00, ?, 0.03
2021-09-01 01:30:00, 8.2, 5.1, 3.0, 6.0, 174, 0.0, ?, 81, 1.6, ?, 0.00, ?, 0.01
2021-09-01 01:45:00, 8.2, 5.5, 2.0, 6.0, 113, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.01
2021-09-01 02:00:00, 8.3, 5.6, 0.9, 3.0, 126, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.01
2021-09-01 02:15:00, 8.0, 5.5, 1.9, 5.0, 126, 0.0, ?, 84, 1.3, ?, 0.00, ?, 0.02
2021-09-01 02:30:00, 8.5, 5.8, 3.5, 5.0, 126, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.02
2021-09-01 02:45:00, 8.6, 6.0, 2.9, 5.0, 126, 0.0, ?, 84, 1.4, ?, 0.00, ?, 0.02
2021-09-01 03:00:00, 8.1, 5.4, 1.5, 5.0, 126, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.01
2021-09-01 03:15:00, 7.8, 5.1, 6.1, 8.0, 126, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.02
2021-09-01 03:30:00, 7.0, 4.8, 3.7, 6.0, 59, 0.0, ?, 86, 1.1, ?, 0.00, ?, 0.01
2021-09-01 03:45:00, 7.5, 5.3, 0.6, 5.0, 39, 0.0, ?, 86, 1.1, ?, 0.00, ?, 0.01
2021-09-01 04:00:00, 7.1, 4.7, 6.4, 13.0, 126, 0.0, ?, 85, 1.2, ?, 0.00, ?, 0.03
2021-09-01 04:15:00, 8.4, 5.9, 4.4, 11.0, 8, 0.0, ?, 84, 1.4, ?, 0.00, ?, 0.03
2021-09-01 04:30:00, 7.6, 4.9, 8.0, 13.0, 183, 0.0, ?, 83, 1.4, ?, 0.00, ?, 0.03
2021-09-01 04:45:00, 9.0, 5.7, 8.7, 11.0, 178, 0.0, ?, 80, 1.7, ?, 0.00, ?, 0.04
2021-09-01 05:00:00, 8.4, 5.3, 5.9, 13.0, 173, 0.0, ?, 81, 1.6, ?, 0.00, ?, 0.04
2021-09-01 05:15:00, 8.6, 5.5, 7.0, 11.0, 169, 0.0, ?, 81, 1.6, ?, 0.00, ?, 0.05
2021-09-01 05:30:00, 8.1, 5.0, 5.4, 10.0, 147, 0.0, ?, 81, 1.6, ?, 0.00, ?, 0.05
2021-09-01 05:45:00, 7.5, 5.0, 1.6, 5.0, 117, 0.0, ?, 84, 1.3, ?, 0.00, ?, 0.05
2021-09-01 06:00:00, 7.4, 5.0, 0.1, 3.0, 118, 0.0, ?, 85, 1.2, ?, 0.00, ?, 0.05
2021-09-01 06:15:00, 6.9, 4.7, 0.0, 0.0, 180, 0.0, ?, 86, 1.1, ?, 0.00, ?, 0.05
2021-09-01 06:30:00, 7.0, 5.0, 0.0, 0.0, 180, 0.0, ?, 87, 1.1, ?, 0.00, ?, 0.05
2021-09-01 06:45:00, 7.8, 5.6, 0.0, 0.0, 180, 0.0, ?, 86, 1.1, ?, 0.01, ?, 0.05
2021-09-01 07:00:00, 7.8, 5.3, 0.7, 6.0, 54, 0.0, ?, 84, 1.3, ?, 0.02, ?, 0.06
2021-09-01 07:15:00, 8.5, 5.9, 0.0, 0.0, 180, 0.0, ?, 84, 1.4, ?, 0.05, ?, 0.07
2021-09-01 07:30:00, 9.6, 6.9, 0.0, 0.0, 180, 0.0, ?, 83, 1.5, ?, 0.08, ?, 0.09
2021-09-01 07:45:00, 10.6, 8.4, 0.9, 5.0, 131, 0.0, ?, 86, 1.2, ?, 0.12, ?, 0.11
2021-09-01 08:00:00, 12.3, 10.0, 0.0, 0.0, 180, 0.0, ?, 86, 1.4, ?, 0.17, ?, 0.14
2021-09-01 08:15:00, 13.6, 10.4, 0.3, 3.0, 175, 0.0, ?, 81, 1.9, ?, 0.24, ?, 0.17
2021-09-01 08:30:00, 14.2, 10.0, 4.2, 6.0, 180, 0.0, ?, 76, 2.5, ?, 0.31, ?, 0.21
2021-09-01 08:45:00, 14.9, 10.3, 4.0, 6.0, 180, 0.0, ?, 74, 2.7, ?, 0.38, ?, 0.25
2021-09-01 09:00:00, 15.9, 10.6, 3.0, 6.0, 182, 0.0, ?, 71, 3.1, ?, 0.47, ?, 0.30
2021-09-01 09:15:00, 17.0, 11.3, 0.8, 5.0, 192, 0.0, ?, 69, 3.5, ?, 0.56, ?, 0.36
2021-09-01 09:30:00, 18.3, 11.8, 3.7, 8.0, 188, 0.0, ?, 66, 4.0, ?, 0.67, ?, 0.42
2021-09-01 09:45:00, 19.5, 12.0, 4.4, 8.0, 180, 0.0, ?, 62, 4.7, ?, 0.77, ?, 0.49
2021-09-01 10:00:00, 20.6, 12.0, 4.6, 10.0, 198, 0.0, ?, 58, 5.3, ?, 0.89, ?, 0.56
2021-09-01 10:15:00, 21.0, 12.2, 8.5, 13.0, 214, 0.0, ?, 57, 5.5, ?, 1.01, ?, 0.65
2021-09-01 10:30:00, 21.1, 12.0, 7.6, 13.0, 202, 0.0, ?, 56, 5.7, ?, 1.13, ?, 0.73
