"Llara (Mulgate Creek)" spanning 2022-02-01 00:00:00+11:00 to 2022-03-01 00:00:00+11:00
Generated at 2022-02-11 10:58:49.283913+11:00

Time, Temperature (C), Dew Point (C), Wind (km/h), Gust (km/h), Wind Dir, Rain Since 9am (mm), MSLP (hPa), Rel Humidity (%), Delta-T (C), Int Temp (C), Solar Rad (kWh/m^2), UV, ETo (mm)
2022-02-01 00:00:00, 21.4, 19.1, 2.7, 6.0, 118, 0.0, ?, 87, 1.6, ?, 5.53, ?, 4.64
2022-02-01 00:15:00, 21.5, 19.6, 1.4, 3.0, 116, 0.0, ?, 89, 1.4, ?, 0.00, ?, 0.00
2022-02-01 00:30:00, 21.6, 19.7, 0.5, 3.0, 114, 0.0, ?, 89, 1.4, ?, 0.00, ?, 0.00
2022-02-01 00:45:00, 21.7, 19.4, 2.0, 5.0, 117, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.00
2022-02-01 01:00:00, 21.6, 19.3, 1.4, 5.0, 146, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.00
2022-02-01 01:15:00, 22.0, 19.5, 5.4, 6.0, 126, 0.0, ?, 86, 1.8, ?, 0.00, ?, 0.01
2022-02-01 01:30:00, 21.8, 19.2, 5.8, 8.0, 175, 0.0, ?, 85, 1.9, ?, 0.00, ?, 0.01
2022-02-01 01:45:00, 21.8, 19.4, 0.9, 5.0, 117, 0.0, ?, 86, 1.8, ?, 0.00, ?, 0.01
2022-02-01 02:00:00, 21.9, 19.4, 2.3, 5.0, 94, 0.0, ?, 86, 1.8, ?, 0.00, ?, 0.01
2022-02-01 02:15:00, 22.3, 19.7, 2.7, 5.0, 63, 0.0, ?, 85, 1.9, ?, 0.00, ?, 0.02
2022-02-01 02:30:00, 21.9, 19.4, 8.6, 24.0, 190, 0.0, ?, 86, 1.8, ?, 0.00, ?, 0.02
2022-02-01 02:45:00, 21.9, 19.6, 8.5, 18.0, 186, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.03
2022-02-01 03:00:00, 21.6, 19.2, 2.5, 6.0, 176, 0.0, ?, 86, 1.8, ?, 0.00, ?, 0.03
2022-02-01 03:15:00, 21.6, 19.3, 3.3, 8.0, 176, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.03
2022-02-01 03:30:00, 21.1, 18.8, 6.8, 10.0, 177, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.03
2022-02-01 03:45:00, 21.1, 18.8, 4.1, 8.0, 140, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.04
2022-02-01 04:00:00, 21.0, 18.6, 3.4, 6.0, 160, 0.0, ?, 86, 1.7, ?, 0.00, ?, 0.04
2022-02-01 04:15:00, 20.7, 18.5, 1.9, 5.0, 135, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.04
2022-02-01 04:30:00, 20.2, 18.1, 1.4, 5.0, 3, 0.0, ?, 88, 1.4, ?, 0.00, ?, 0.04
2022-02-01 04:45:00, 19.9, 18.2, 3.7, 5.0, 3, 0.0, ?, 90, 1.2, ?, 0.00, ?, 0.04
2022-02-01 05:00:00, 19.8, 18.1, 4.2, 6.0, 29, 0.0, ?, 90, 1.2, ?, 0.00, ?, 0.04
2022-02-01 05:15:00, 19.7, 18.0, 3.3, 6.0, 101, 0.0, ?, 90, 1.2, ?, 0.00, ?, 0.05
2022-02-01 05:30:00, 19.8, 17.8, 4.4, 6.0, 156, 0.0, ?, 88, 1.4, ?, 0.00, ?, 0.05
2022-02-01 05:45:00, 19.8, 17.6, 2.5, 5.0, 155, 0.0, ?, 87, 1.6, ?, 0.00, ?, 0.05
2022-02-01 06:00:00, 19.9, 17.9, 3.3, 6.0, 163, 0.0, ?, 88, 1.4, ?, 0.00, ?, 0.05
2022-02-01 06:15:00, 20.1, 18.0, 4.3, 6.0, 165, 0.0, ?, 88, 1.4, ?, 0.00, ?, 0.06
2022-02-01 06:30:00, 20.3, 17.9, 3.6, 6.0, 172, 0.0, ?, 86, 1.7, ?, 0.00, ?, 0.06
2022-02-01 06:45:00, 20.4, 17.8, 5.2, 8.0, 171, 0.0, ?, 85, 1.8, ?, 0.00, ?, 0.06
2022-02-01 07:00:00, 20.3, 18.1, 4.6, 6.0, 176, 0.0, ?, 87, 1.6, ?, 0.01, ?, 0.07
2022-02-01 07:15:00, 20.5, 18.4, 3.5, 5.0, 155, 0.0, ?, 88, 1.4, ?, 0.02, ?, 0.08
2022-02-01 07:30:00, 21.7, 19.8, 1.7, 5.0, 185, 0.0, ?, 89, 1.4, ?, 0.06, ?, 0.10
2022-02-01 07:45:00, 23.5, 20.0, 2.5, 6.0, 318, 0.0, ?, 81, 2.5, ?, 0.11, ?, 0.14
2022-02-01 08:00:00, 25.2, 20.0, 4.4, 8.0, 47, 0.0, ?, 73, 3.8, ?, 0.16, ?, 0.18
2022-02-01 08:15:00, 26.2, 19.8, 2.1, 5.0, 47, 0.0, ?, 68, 4.5, ?, 0.21, ?, 0.21
2022-02-01 08:30:00, 26.4, 20.0, 0.7, 3.0, 40, 0.0, ?, 68, 4.6, ?, 0.23, ?, 0.23
2022-02-01 08:45:00, 26.5, 20.6, 1.2, 3.0, 40, 0.0, ?, 70, 4.3, ?, 0.27, ?, 0.26
2022-02-01 09:00:00, 27.6, 19.9, 2.1, 5.0, 15, 0.0, ?, 63, 5.5, ?, 0.38, ?, 0.34
2022-02-01 09:15:00, 28.6, 20.1, 1.9, 5.0, 12, 0.0, ?, 60, 6.2, ?, 0.61, ?, 0.50
2022-02-01 09:30:00, 29.4, 20.3, 4.0, 8.0, 348, 0.0, ?, 58, 6.6, ?, 0.51, ?, 0.43
2022-02-01 09:45:00, 29.8, 19.5, 8.3, 14.0, 351, 0.0, ?, 54, 7.4, ?, 0.74, ?, 0.61
2022-02-01 10:00:00, 30.1, 19.8, 11.9, 23.0, 2, 0.0, ?, 54, 7.5, ?, 0.88, ?, 0.73
2022-02-01 10:15:00, 30.5, 20.4, 10.6, 21.0, 356, 0.0, ?, 55, 7.3, ?, 1.04, ?, 0.86
2022-02-01 10:30:00, 30.7, 20.3, 11.8, 19.0, 1, 0.0, ?, 54, 7.5, ?, 1.18, ?, 0.98
2022-02-01 10:45:00, 30.4, 20.0, 12.2, 21.0, 337, 0.0, ?, 54, 7.5, ?, 1.40, ?, 1.18
2022-02-01 11:00:00, 30.7, 20.6, 12.3, 19.0, 4, 0.0, ?, 55, 7.3, ?, 1.31, ?, 1.09
